Asie;Bhoutan;Mongolie;Kowe‹t;Bahrein;Philippines;Cambodge;Pakistan;Arabie Saoudite;Afghanistan;Bangladesh;Maldives;Myanmar;Népal;Singapour;Iran;Inde;Kazakhstan;Liban;Jordanie
Langue officielle;Dzongkha;Mongole;Arabe;Arabe;Anglais;Khmer;Anglais;Arabe;Dari;Bengali;Maldivien;Birman;Népalais;Anglais;Persan;Anglais;Kazakhstan;Arabe;Arabe
Population;742 000;3 000 000;4 000 000;1 300 000;101 000 000;15 700 000;20 700 000;28 500 000;34 100 000;168 900 000;392 000;55 100 000;29 400 000;5 800 000;82 000 000;1 200 000;17 950 000;6 200 000;10 200 000
