Afrique;Afrique du Sud;Alg?rie;Angola;B?nin;Botswana;Burkina Faso;Burundi;Cameroun;Cap-Vert;Comores;R‚publique Dem du Congo;Congo;Djibouti;Egypte;Erythr?e;Ethiopie;Gabon;Gambie;Ghana;Guin?e;Guin?e-Bissau;Guin?e Equatoriale;Kenya;Lesotho;Liberia;Libye;Madagascar;Malawi;Mali;Maroc;Maurice;Mauritanie;Mozambique;Namibie;Niger;Nig?ria;Ouganda;R?p. Centraficaine;Rwanda;Sao-Tom?-et-Principe;S?n?gal;Seychelles;Sierra Leone;Somalie;Soudan;R?publique du Soudan du Sud;Swaziland;Tanzanie;Tchad;Togo;Tunisie;Zambie;Zimbabwe
IDH;0,66;0,74;0,53;0,48;0,69;0,4;0,4;0,51;0,64;0,49;0,43;0,59;0,47;0,69;0,42;0,45;0,7;0,45;0,58;0,41;0,42;0,59;0,55;0,5;0,43;0,71;0,51;0,48;0,44;0,65;0,78;0,51;0,42;0,64;0,35;0,53;0,49;0,35;0,5;0,57;0,46;0,78;0,41;;0,49;0,41;0,54;0,53;0,39;0,49;0,72;0,58;0,52
Fuseau  horaire;UTC +2;UTC +1;UTC +1;UTC +1;UTC +2;UTC;UTC +2;UTC+1;UTC -1;UTC +3;UTC +1;UTC +1;UTC +3;UTC +2;UTC +3;UTC +3;UTC +2;UTC;UTC;UTC;UTC;UTC;UTC +3;UTC +2;UTC;UTC+2;;;;;;;;;;;;;;;;;;;;;;;;;;;
