Pays;Etats-Unis;Isra‰l;Canada;Japon;RŠp. de Cor‚e;Chine;Australie;Br‚sil;Afrique du Sud;Mexique;Argentine;Liban;Tunisie;Inde;Egypte;V‚n‚zula;Alg‚rie;Iran;N‚pal;Rwanda;Myanmar;Colombie;Bangladesh;Tanzanie;Afghanistan;Kenya;P‚rou;Congo;Arabie Saoudite;Cuba;Pakistan;Libye;Cambodge;Panama;Chili;Mongolie;Philippines;Bahre‹n;Kowe‹t
Superficie(kmý);9 500 000;22 000;9 000 000;380 000;99 500;9 600 000;7 700 000;8 600 000;1 200 000;2 000 000;2 800 000;10 400;164 000;3 200 000;1 000 000;912 000;2 400 000;1 600 000;147 000;26 300;677 000;1 100 000;147 000;945 000;652 000;582 600;1 300 000;2 300 000;2 200 000;110 800;796 000;1 780 000;181 000;77 000;756 000;1 600 000;300 000;695;17 800
Population;321 000 000;7 800 000;35 000 000;127 000 000;49 000 000;1 300 000 000;22 700 000;204 000 000;53 000 000;121 000 000;43 400 000;6 200 000;11 000 000;1 200 000 000;88 500 000;29 000 000;39 500 000;81 800 000;31 000 000;12 700 000;56 000 000;46 700 000;169 000 000;51 000 000;32 600 000;46 000 000;30 000 000;79 000 000;28 000 000;11 000 000;199 000 000;6 400 000;15 700 000;3 700 000;17 500 000;3 000 000;101 000 000;1 300 000;4 000 000
