 ;Albanie;Allemagne;Andorre;Arménie;Autriche;Azerbaïdjan;Belgique;Biélorussie;Bosnie-H;Bulgarie;Croatie;Chypre;Danemark;Estonie;Finlande;France;Géorgie;Grèce;Hongrie;Irlande;Islande;Italie;Kazakhstan;Lettonie;Liechtenstein;Lituanie;Luxembourg;Macédoine;Malte;Moldavie;Monaco;Monténégro;Norvège;Pays-Bas;Pologne;Portugal;République Tchèque;Roumanie;Royaume-Uni;Russie;St-Marin;Serbie;Slovquie;Slovénie;Suède;Suisse;Turquie;Ukraine;Vatican;Espagne
Superficie;28700;357000;500;29700;83900;87000;30500;207000;51200;110000;56500;9250;43000;45200;338000;644000;69500;132000;93000;70000;105000;300000;2730000;64500;150;65000;2600;25700;300;33850;2;13800;324000;41550;313000;92100;78800;238000;244000;17100000;60;88400;49000;20300;450000;41500;783500;603500;0,5;505000
Population;3020000;81000000;85000;3050000;8250000;9700000;11200000;9600000;3850000;6950000;4450000;1200000;5500000;1250000;5300000;66000000;49000000;10800000;9900000;4850000;320000;62000000;18000000;2150000;37500;2950000;520000;2100000;415000;3580000;30500;650000;5150000;16900000;38350000;10450000;10550000;21700000;63800000;146300000;33000;7200000;5450000;1990000;9750000;8100000;76600000;44300000;850;47700000
