Pays;Etats-Unis;Israël;Canada;Japon;Rèp. de Corée;Chine;Australie;Brésil;Afrique du Sud;Mexique;Argentine;Liban;Tunisie;Inde;Egypte;Vénézula;Algérie;Iran;Népal;Rwanda;Myanmar;Colombie;Bangladesh;Tanzanie;Afghanistan;Kenya;Pérou;Congo;Arabie Saoudite;Pakistan;Libye;Cambodge;Panama;Chili;Mongolie;Philippines;Bahreïn;Koweit
Superficie(km²);9 500 000;22 000;9 000 000;380 000;99 500;9 600 000;7 700 000;8 600 000;1 200 000;2 000 000;2 800 000;10 400;164 000;3 200 000;1 000 000;912 000;2 400 000;1 600 000;147;;;;;;;;;;;;;;;;;;;
Population;321 000 000;7 800 000;35 000 000;127 000 000;49 000 000;1 300 000 000;22 700 000;204 000 000;53 000 000;121 000 000;43 400 000;6 200 000;11 000 000;1 200 000 000;88 500 000;29 000 000;39 500 000;81 800 000;;;;;;;;;;;;;;;;;;;;
